Ctyname,stname,cases2023
Autauga County,Alabama,0
Baldwin County,Alabama,5
Barbour County,Alabama,1
Bibb County,Alabama,1
Blount County,Alabama,2
Bullock County,Alabama,0
Butler County,Alabama,0
Calhoun County,Alabama,1
Chambers County,Alabama,0
Cherokee County,Alabama,0
Chilton County,Alabama,1
Choctaw County,Alabama,0
Clarke County,Alabama,0
Clay County,Alabama,0
Cleburne County,Alabama,1
Coffee County,Alabama,2
Colbert County,Alabama,0
Conecuh County,Alabama,0
Coosa County,Alabama,0
Covington County,Alabama,0
Crenshaw County,Alabama,0
Cullman County,Alabama,0
Dale County,Alabama,0
Dallas County,Alabama,0
DeKalb County,Alabama,2
Elmore County,Alabama,0
Escambia County,Alabama,0
Etowah County,Alabama,0
Fayette County,Alabama,0
Franklin County,Alabama,0
Geneva County,Alabama,0
Greene County,Alabama,0
Hale County,Alabama,0
Henry County,Alabama,1
Houston County,Alabama,0
Jackson County,Alabama,0
Jefferson County,Alabama,1
Lamar County,Alabama,0
Lauderdale County,Alabama,0
Lawrence County,Alabama,0
Lee County,Alabama,1
Limestone County,Alabama,0
Lowndes County,Alabama,0
Macon County,Alabama,0
Madison County,Alabama,1
Marengo County,Alabama,0
Marion County,Alabama,0
Marshall County,Alabama,3
Mobile County,Alabama,2
Monroe County,Alabama,0
Montgomery County,Alabama,3
Morgan County,Alabama,0
Perry County,Alabama,0
Pickens County,Alabama,0
Pike County,Alabama,0
Randolph County,Alabama,0
Russell County,Alabama,0
St. Clair County,Alabama,2
Shelby County,Alabama,2
Sumter County,Alabama,0
Talladega County,Alabama,0
Tallapoosa County,Alabama,2
Tuscaloosa County,Alabama,0
Walker County,Alabama,1
Washington County,Alabama,0
Wilcox County,Alabama,1
Winston County,Alabama,0
Aleutians East Borough,Alaska,0
Aleutians West Census Area,Alaska,0
Anchorage Municipality,Alaska,0
Bethel Census Area,Alaska,0
Bristol Bay Borough,Alaska,0
Chugach Census Area,Alaska,1
Denali Borough,Alaska,0
Dillingham Census Area,Alaska,0
Fairbanks North Star Borough,Alaska,0
Haines Borough,Alaska,0
Hoonah-Angoon Census Area,Alaska,0
Juneau City and Borough,Alaska,0
Kenai Peninsula Borough,Alaska,0
Ketchikan Gateway Borough,Alaska,0
Kodiak Island Borough,Alaska,0
Kusilvak Census Area,Alaska,0
Lake and Peninsula Borough,Alaska,0
Matanuska-Susitna Borough,Alaska,0
Nome Census Area,Alaska,0
North Slope Borough,Alaska,0
Northwest Arctic Borough,Alaska,0
Petersburg Borough,Alaska,0
Prince of Wales-Hyder Census Area,Alaska,0
Sitka City and Borough,Alaska,1
Skagway Municipality,Alaska,0
Southeast Fairbanks Census Area,Alaska,0
Valdez-Cordova Census Area,Alaska,0
Wrangell City and Borough,Alaska,0
Yakutat City and Borough,Alaska,0
Yukon-Koyukuk Census Area,Alaska,0
Apache County,Arizona,0
Cochise County,Arizona,1
Coconino County,Arizona,1
Gila County,Arizona,1
Graham County,Arizona,0
Greenlee County,Arizona,0
La Paz County,Arizona,0
Maricopa County,Arizona,0
Mohave County,Arizona,1
Navajo County,Arizona,0
Pima County,Arizona,6
Pinal County,Arizona,3
Santa Cruz County,Arizona,0
Yavapai County,Arizona,2
Yuma County,Arizona,1
Arkansas County,Arkansas,0
Ashley County,Arkansas,0
Baxter County,Arkansas,0
Benton County,Arkansas,1
Boone County,Arkansas,0
Bradley County,Arkansas,0
Calhoun County,Arkansas,0
Carroll County,Arkansas,0
Chicot County,Arkansas,0
Clark County,Arkansas,0
Clay County,Arkansas,0
Cleburne County,Arkansas,0
Cleveland County,Arkansas,0
Columbia County,Arkansas,0
Conway County,Arkansas,0
Craighead County,Arkansas,0
Crawford County,Arkansas,0
Crittenden County,Arkansas,0
Cross County,Arkansas,0
Dallas County,Arkansas,0
Desha County,Arkansas,0
Drew County,Arkansas,0
Faulkner County,Arkansas,0
Franklin County,Arkansas,0
Fulton County,Arkansas,0
Garland County,Arkansas,0
Grant County,Arkansas,0
Greene County,Arkansas,0
Hempstead County,Arkansas,0
Hot Spring County,Arkansas,0
Howard County,Arkansas,0
Independence County,Arkansas,0
Izard County,Arkansas,1
Jackson County,Arkansas,0
Jefferson County,Arkansas,0
Johnson County,Arkansas,0
Lafayette County,Arkansas,0
Lawrence County,Arkansas,0
Lee County,Arkansas,0
Lincoln County,Arkansas,0
Little River County,Arkansas,0
Logan County,Arkansas,0
Lonoke County,Arkansas,1
Madison County,Arkansas,0
Marion County,Arkansas,0
Miller County,Arkansas,0
Mississippi County,Arkansas,1
Monroe County,Arkansas,0
Montgomery County,Arkansas,0
Nevada County,Arkansas,0
Newton County,Arkansas,0
Ouachita County,Arkansas,0
Perry County,Arkansas,0
Phillips County,Arkansas,0
Pike County,Arkansas,0
Poinsett County,Arkansas,0
Polk County,Arkansas,0
Pope County,Arkansas,0
Prairie County,Arkansas,0
Pulaski County,Arkansas,1
Randolph County,Arkansas,0
St. Francis County,Arkansas,0
Saline County,Arkansas,0
Scott County,Arkansas,0
Searcy County,Arkansas,0
Sebastian County,Arkansas,0
Sevier County,Arkansas,0
Sharp County,Arkansas,0
Stone County,Arkansas,0
Union County,Arkansas,0
Van Buren County,Arkansas,0
Washington County,Arkansas,0
White County,Arkansas,0
Woodruff County,Arkansas,0
Yell County,Arkansas,0
Alameda County,California,6
Alpine County,California,0
Amador County,California,0
Butte County,California,1
Calaveras County,California,2
Colusa County,California,0
Contra Costa County,California,2
Del Norte County,California,0
El Dorado County,California,1
Fresno County,California,0
Glenn County,California,0
Humboldt County,California,6
Imperial County,California,0
Inyo County,California,0
Kern County,California,1
Kings County,California,0
Lake County,California,0
Lassen County,California,0
Los Angeles County,California,15
Madera County,California,0
Marin County,California,0
Mariposa County,California,0
Mendocino County,California,2
Merced County,California,0
Modoc County,California,0
Mono County,California,0
Monterey County,California,0
Napa County,California,1
Nevada County,California,1
Orange County,California,0
Placer County,California,1
Plumas County,California,0
Riverside County,California,4
Sacramento County,California,4
San Benito County,California,1
San Bernardino County,California,0
San Diego County,California,11
San Francisco County,California,4
San Joaquin County,California,2
San Luis Obispo County,California,0
San Mateo County,California,0
Santa Barbara County,California,4
Santa Clara County,California,12
Santa Cruz County,California,12
Shasta County,California,2
Sierra County,California,0
Siskiyou County,California,0
Solano County,California,0
Sonoma County,California,11
Stanislaus County,California,0
Sutter County,California,0
Tehama County,California,0
Trinity County,California,0
Tulare County,California,2
Tuolumne County,California,0
Ventura County,California,1
Yolo County,California,0
Yuba County,California,0
Adams County,Colorado,1
Alamosa County,Colorado,1
Arapahoe County,Colorado,2
Archuleta County,Colorado,0
Baca County,Colorado,0
Bent County,Colorado,0
Boulder County,Colorado,7
Broomfield County,Colorado,0
Chaffee County,Colorado,0
Cheyenne County,Colorado,0
Clear Creek County,Colorado,0
Conejos County,Colorado,0
Costilla County,Colorado,0
Crowley County,Colorado,0
Custer County,Colorado,0
Delta County,Colorado,0
Denver County,Colorado,2
Dolores County,Colorado,0
Douglas County,Colorado,2
Eagle County,Colorado,0
Elbert County,Colorado,0
El Paso County,Colorado,3
Fremont County,Colorado,0
Garfield County,Colorado,0
Gilpin County,Colorado,0
Grand County,Colorado,0
Gunnison County,Colorado,0
Hinsdale County,Colorado,0
Huerfano County,Colorado,0
Jackson County,Colorado,0
Jefferson County,Colorado,4
Kiowa County,Colorado,0
Kit Carson County,Colorado,0
Lake County,Colorado,0
La Plata County,Colorado,0
Larimer County,Colorado,4
Las Animas County,Colorado,0
Lincoln County,Colorado,0
Logan County,Colorado,0
Mesa County,Colorado,1
Mineral County,Colorado,0
Moffat County,Colorado,0
Montezuma County,Colorado,0
Montrose County,Colorado,1
Morgan County,Colorado,0
Otero County,Colorado,0
Ouray County,Colorado,1
Park County,Colorado,0
Phillips County,Colorado,0
Pitkin County,Colorado,0
Prowers County,Colorado,0
Pueblo County,Colorado,0
Rio Blanco County,Colorado,0
Rio Grande County,Colorado,0
Routt County,Colorado,0
Saguache County,Colorado,0
San Juan County,Colorado,0
San Miguel County,Colorado,1
Sedgwick County,Colorado,0
Summit County,Colorado,0
Teller County,Colorado,1
Washington County,Colorado,0
Weld County,Colorado,1
Yuma County,Colorado,0
Fairfield County,Connecticut,0
Hartford County,Connecticut,0
Litchfield County,Connecticut,0
Middlesex County,Connecticut,0
New Haven County,Connecticut,0
New London County,Connecticut,0
Tolland County,Connecticut,0
Windham County,Connecticut,0
Capitol,Connecticut,507
Greater Bridgeport,Connecticut,184
Lower Connecticut River Valley,Connecticut,305
Naugatuck Valley,Connecticut,337
Northeastern Connecticut,Connecticut,215
Northwest Hills,Connecticut,228
South Central Connecticut,Connecticut,362
Southeastern Connecticut,Connecticut,558
Western Connecticut,Connecticut,534
Kent County,Delaware,44
New Castle County,Delaware,203
Sussex County,Delaware,78
District of Columbia,District of Columbia,108
Alachua County,Florida,3
Baker County,Florida,0
Bay County,Florida,1
Bradford County,Florida,0
Brevard County,Florida,12
Broward County,Florida,15
Calhoun County,Florida,0
Charlotte County,Florida,11
Citrus County,Florida,2
Clay County,Florida,1
Collier County,Florida,14
Columbia County,Florida,0
DeSoto County,Florida,0
Dixie County,Florida,0
Duval County,Florida,3
Escambia County,Florida,2
Flagler County,Florida,0
Franklin County,Florida,0
Gadsden County,Florida,0
Gilchrist County,Florida,0
Glades County,Florida,0
Gulf County,Florida,0
Hamilton County,Florida,0
Hardee County,Florida,0
Hendry County,Florida,1
Hernando County,Florida,1
Highlands County,Florida,3
Hillsborough County,Florida,14
Holmes County,Florida,0
Indian River County,Florida,2
Jackson County,Florida,0
Jefferson County,Florida,0
Lafayette County,Florida,0
Lake County,Florida,9
Lee County,Florida,15
Leon County,Florida,4
Levy County,Florida,0
Liberty County,Florida,0
Madison County,Florida,0
Manatee County,Florida,14
Marion County,Florida,10
Martin County,Florida,6
Miami-Dade County,Florida,13
Monroe County,Florida,4
Nassau County,Florida,2
Okaloosa County,Florida,1
Okeechobee County,Florida,0
Orange County,Florida,8
Osceola County,Florida,1
Palm Beach County,Florida,34
Pasco County,Florida,5
Pinellas County,Florida,21
Polk County,Florida,1
Putnam County,Florida,1
St. Johns County,Florida,6
St. Lucie County,Florida,5
Santa Rosa County,Florida,3
Sarasota County,Florida,12
Seminole County,Florida,3
Sumter County,Florida,5
Suwannee County,Florida,0
Taylor County,Florida,0
Union County,Florida,0
Volusia County,Florida,3
Wakulla County,Florida,0
Walton County,Florida,0
Washington County,Florida,0
Appling County,Georgia,0
Atkinson County,Georgia,0
Bacon County,Georgia,0
Baker County,Georgia,0
Baldwin County,Georgia,0
Banks County,Georgia,0
Barrow County,Georgia,1
Bartow County,Georgia,0
Ben Hill County,Georgia,0
Berrien County,Georgia,0
Bibb County,Georgia,0
Bleckley County,Georgia,0
Brantley County,Georgia,0
Brooks County,Georgia,0
Bryan County,Georgia,0
Bulloch County,Georgia,0
Burke County,Georgia,0
Butts County,Georgia,0
Calhoun County,Georgia,0
Camden County,Georgia,0
Candler County,Georgia,0
Carroll County,Georgia,0
Catoosa County,Georgia,0
Charlton County,Georgia,0
Chatham County,Georgia,0
Chattahoochee County,Georgia,0
Chattooga County,Georgia,0
Cherokee County,Georgia,0
Clarke County,Georgia,0
Clay County,Georgia,0
Clayton County,Georgia,0
Clinch County,Georgia,0
Cobb County,Georgia,1
Coffee County,Georgia,0
Colquitt County,Georgia,0
Columbia County,Georgia,0
Cook County,Georgia,0
Coweta County,Georgia,0
Crawford County,Georgia,0
Crisp County,Georgia,0
Dade County,Georgia,0
Dawson County,Georgia,0
Decatur County,Georgia,0
DeKalb County,Georgia,2
Dodge County,Georgia,0
Dooly County,Georgia,0
Dougherty County,Georgia,0
Douglas County,Georgia,0
Early County,Georgia,0
Echols County,Georgia,0
Effingham County,Georgia,0
Elbert County,Georgia,0
Emanuel County,Georgia,0
Evans County,Georgia,0
Fannin County,Georgia,0
Fayette County,Georgia,2
Floyd County,Georgia,0
Forsyth County,Georgia,0
Franklin County,Georgia,0
Fulton County,Georgia,3
Gilmer County,Georgia,0
Glascock County,Georgia,0
Glynn County,Georgia,0
Gordon County,Georgia,0
Grady County,Georgia,0
Greene County,Georgia,0
Gwinnett County,Georgia,1
Habersham County,Georgia,0
Hall County,Georgia,0
Hancock County,Georgia,0
Haralson County,Georgia,0
Harris County,Georgia,0
Hart County,Georgia,0
Heard County,Georgia,1
Henry County,Georgia,3
Houston County,Georgia,0
Irwin County,Georgia,0
Jackson County,Georgia,0
Jasper County,Georgia,0
Jeff Davis County,Georgia,0
Jefferson County,Georgia,0
Jenkins County,Georgia,0
Johnson County,Georgia,0
Jones County,Georgia,0
Lamar County,Georgia,0
Lanier County,Georgia,0
Laurens County,Georgia,1
Lee County,Georgia,0
Liberty County,Georgia,0
Lincoln County,Georgia,0
Long County,Georgia,0
Lowndes County,Georgia,0
Lumpkin County,Georgia,0
McDuffie County,Georgia,0
McIntosh County,Georgia,0
Macon County,Georgia,0
Madison County,Georgia,1
Marion County,Georgia,0
Meriwether County,Georgia,0
Miller County,Georgia,0
Mitchell County,Georgia,0
Monroe County,Georgia,0
Montgomery County,Georgia,0
Morgan County,Georgia,0
Murray County,Georgia,0
Muscogee County,Georgia,0
Newton County,Georgia,0
Oconee County,Georgia,0
Oglethorpe County,Georgia,0
Paulding County,Georgia,1
Peach County,Georgia,0
Pickens County,Georgia,0
Pierce County,Georgia,0
Pike County,Georgia,0
Polk County,Georgia,0
Pulaski County,Georgia,0
Putnam County,Georgia,0
Quitman County,Georgia,0
Rabun County,Georgia,0
Randolph County,Georgia,0
Richmond County,Georgia,0
Rockdale County,Georgia,0
Schley County,Georgia,0
Screven County,Georgia,0
Seminole County,Georgia,0
Spalding County,Georgia,0
Stephens County,Georgia,0
Stewart County,Georgia,0
Sumter County,Georgia,0
Talbot County,Georgia,0
Taliaferro County,Georgia,0
Tattnall County,Georgia,0
Taylor County,Georgia,0
Telfair County,Georgia,0
Terrell County,Georgia,0
Thomas County,Georgia,0
Tift County,Georgia,0
Toombs County,Georgia,0
Towns County,Georgia,0
Treutlen County,Georgia,0
Troup County,Georgia,0
Turner County,Georgia,0
Twiggs County,Georgia,0
Union County,Georgia,0
Upson County,Georgia,0
Walker County,Georgia,0
Walton County,Georgia,0
Ware County,Georgia,1
Warren County,Georgia,0
Washington County,Georgia,0
Wayne County,Georgia,0
Webster County,Georgia,0
Wheeler County,Georgia,0
White County,Georgia,0
Whitfield County,Georgia,0
Wilcox County,Georgia,0
Wilkes County,Georgia,0
Wilkinson County,Georgia,0
Worth County,Georgia,0
Hawaii County,Hawaii,0
Honolulu County,Hawaii,0
Kalawao County,Hawaii,0
Kauai County,Hawaii,0
Maui County,Hawaii,0
Ada County,Idaho,1
Adams County,Idaho,0
Bannock County,Idaho,0
Bear Lake County,Idaho,0
Benewah County,Idaho,0
Bingham County,Idaho,0
Blaine County,Idaho,0
Boise County,Idaho,0
Bonner County,Idaho,1
Bonneville County,Idaho,0
Boundary County,Idaho,0
Butte County,Idaho,0
Camas County,Idaho,0
Canyon County,Idaho,0
Caribou County,Idaho,0
Cassia County,Idaho,0
Clark County,Idaho,0
Clearwater County,Idaho,0
Custer County,Idaho,0
Elmore County,Idaho,0
Franklin County,Idaho,0
Fremont County,Idaho,0
Gem County,Idaho,0
Gooding County,Idaho,0
Idaho County,Idaho,0
Jefferson County,Idaho,0
Jerome County,Idaho,0
Kootenai County,Idaho,4
Latah County,Idaho,0
Lemhi County,Idaho,0
Lewis County,Idaho,0
Lincoln County,Idaho,0
Madison County,Idaho,0
Minidoka County,Idaho,0
Nez Perce County,Idaho,0
Oneida County,Idaho,0
Owyhee County,Idaho,0
Payette County,Idaho,0
Power County,Idaho,0
Shoshone County,Idaho,0
Teton County,Idaho,1
Twin Falls County,Idaho,0
Valley County,Idaho,0
Washington County,Idaho,0
Adams County,Illinois,2
Alexander County,Illinois,0
Bond County,Illinois,0
Boone County,Illinois,1
Brown County,Illinois,0
Bureau County,Illinois,0
Calhoun County,Illinois,0
Carroll County,Illinois,2
Cass County,Illinois,0
Champaign County,Illinois,3
Christian County,Illinois,0
Clark County,Illinois,0
Clay County,Illinois,0
Clinton County,Illinois,0
Coles County,Illinois,1
Cook County,Illinois,107
Crawford County,Illinois,0
Cumberland County,Illinois,0
DeKalb County,Illinois,2
De Witt County,Illinois,0
Douglas County,Illinois,0
DuPage County,Illinois,39
Edgar County,Illinois,0
Edwards County,Illinois,1
Effingham County,Illinois,2
Fayette County,Illinois,0
Ford County,Illinois,0
Franklin County,Illinois,0
Fulton County,Illinois,6
Gallatin County,Illinois,0
Greene County,Illinois,0
Grundy County,Illinois,0
Hamilton County,Illinois,0
Hancock County,Illinois,0
Hardin County,Illinois,0
Henderson County,Illinois,0
Henry County,Illinois,1
Iroquois County,Illinois,0
Jackson County,Illinois,0
Jasper County,Illinois,0
Jefferson County,Illinois,0
Jersey County,Illinois,0
Jo Daviess County,Illinois,9
Johnson County,Illinois,0
Kane County,Illinois,25
Kankakee County,Illinois,1
Kendall County,Illinois,7
Knox County,Illinois,3
Lake County,Illinois,51
LaSalle County,Illinois,8
Lawrence County,Illinois,0
Lee County,Illinois,3
Livingston County,Illinois,0
Logan County,Illinois,1
McDonough County,Illinois,1
McHenry County,Illinois,23
McLean County,Illinois,2
Macon County,Illinois,0
Macoupin County,Illinois,0
Madison County,Illinois,0
Marion County,Illinois,0
Marshall County,Illinois,0
Mason County,Illinois,1
Massac County,Illinois,0
Menard County,Illinois,0
Mercer County,Illinois,1
Monroe County,Illinois,0
Montgomery County,Illinois,0
Morgan County,Illinois,0
Moultrie County,Illinois,0
Ogle County,Illinois,2
Peoria County,Illinois,14
Perry County,Illinois,0
Piatt County,Illinois,2
Pike County,Illinois,0
Pope County,Illinois,0
Pulaski County,Illinois,0
Putnam County,Illinois,3
Randolph County,Illinois,0
Richland County,Illinois,0
Rock Island County,Illinois,3
St. Clair County,Illinois,0
Saline County,Illinois,0
Sangamon County,Illinois,1
Schuyler County,Illinois,0
Scott County,Illinois,0
Shelby County,Illinois,0
Stark County,Illinois,0
Stephenson County,Illinois,1
Tazewell County,Illinois,7
Union County,Illinois,0
Vermilion County,Illinois,2
Wabash County,Illinois,1
Warren County,Illinois,0
Washington County,Illinois,0
Wayne County,Illinois,0
White County,Illinois,0
Whiteside County,Illinois,3
Will County,Illinois,16
Williamson County,Illinois,0
Winnebago County,Illinois,14
Woodford County,Illinois,0
Adams County,Indiana,0
Allen County,Indiana,4
Bartholomew County,Indiana,2
Benton County,Indiana,0
Blackford County,Indiana,0
Boone County,Indiana,3
Brown County,Indiana,1
Carroll County,Indiana,0
Cass County,Indiana,4
Clark County,Indiana,1
Clay County,Indiana,2
Clinton County,Indiana,1
Crawford County,Indiana,0
Daviess County,Indiana,0
Dearborn County,Indiana,2
Decatur County,Indiana,1
DeKalb County,Indiana,0
Delaware County,Indiana,1
Dubois County,Indiana,1
Elkhart County,Indiana,6
Fayette County,Indiana,1
Floyd County,Indiana,2
Fountain County,Indiana,1
Franklin County,Indiana,2
Fulton County,Indiana,3
Gibson County,Indiana,0
Grant County,Indiana,0
Greene County,Indiana,1
Hamilton County,Indiana,3
Hancock County,Indiana,1
Harrison County,Indiana,1
Hendricks County,Indiana,2
Henry County,Indiana,0
Howard County,Indiana,0
Huntington County,Indiana,0
Jackson County,Indiana,0
Jasper County,Indiana,5
Jay County,Indiana,0
Jefferson County,Indiana,0
Jennings County,Indiana,0
Johnson County,Indiana,0
Knox County,Indiana,1
Kosciusko County,Indiana,9
LaGrange County,Indiana,2
Lake County,Indiana,16
LaPorte County,Indiana,8
Lawrence County,Indiana,2
Madison County,Indiana,0
Marion County,Indiana,12
Marshall County,Indiana,6
Martin County,Indiana,0
Miami County,Indiana,2
Monroe County,Indiana,0
Montgomery County,Indiana,0
Morgan County,Indiana,1
Newton County,Indiana,1
Noble County,Indiana,0
Ohio County,Indiana,0
Orange County,Indiana,0
Owen County,Indiana,3
Parke County,Indiana,1
Perry County,Indiana,0
Pike County,Indiana,0
Porter County,Indiana,13
Posey County,Indiana,0
Pulaski County,Indiana,0
Putnam County,Indiana,2
Randolph County,Indiana,0
Ripley County,Indiana,2
Rush County,Indiana,0
St. Joseph County,Indiana,19
Scott County,Indiana,1
Shelby County,Indiana,0
Spencer County,Indiana,0
Starke County,Indiana,3
Steuben County,Indiana,0
Sullivan County,Indiana,0
Switzerland County,Indiana,0
Tippecanoe County,Indiana,5
Tipton County,Indiana,0
Union County,Indiana,0
Vanderburgh County,Indiana,1
Vermillion County,Indiana,0
Vigo County,Indiana,1
Wabash County,Indiana,1
Warren County,Indiana,0
Warrick County,Indiana,0
Washington County,Indiana,1
Wayne County,Indiana,2
Wells County,Indiana,1
White County,Indiana,0
Whitley County,Indiana,0
Adair County,Iowa,0
Adams County,Iowa,0
Allamakee County,Iowa,1
Appanoose County,Iowa,2
Audubon County,Iowa,0
Benton County,Iowa,1
Black Hawk County,Iowa,4
Boone County,Iowa,1
Bremer County,Iowa,0
