abbreviation ,stname,Ctyname,cases2023
AL,Alabama,Autauga County,0
AL,Alabama,Baldwin County,5
AL,Alabama,Barbour County,1
AL,Alabama,Bibb County,1
AL,Alabama,Blount County,2
AL,Alabama,Bullock County,0
AL,Alabama,Butler County,0
AL,Alabama,Calhoun County,1
AL,Alabama,Chambers County,0
AL,Alabama,Cherokee County,0
AL,Alabama,Chilton County,1
AL,Alabama,Choctaw County,0
AL,Alabama,Clarke County,0
AL,Alabama,Clay County,0
AL,Alabama,Cleburne County,1
AL,Alabama,Coffee County,2
AL,Alabama,Colbert County,0
AL,Alabama,Conecuh County,0
AL,Alabama,Coosa County,0
AL,Alabama,Covington County,0
AL,Alabama,Crenshaw County,0
AL,Alabama,Cullman County,0
AL,Alabama,Dale County,0
AL,Alabama,Dallas County,0
AL,Alabama,DeKalb County,2
AL,Alabama,Elmore County,0
AL,Alabama,Escambia County,0
AL,Alabama,Etowah County,0
AL,Alabama,Fayette County,0
AL,Alabama,Franklin County,0
AL,Alabama,Geneva County,0
AL,Alabama,Greene County,0
AL,Alabama,Hale County,0
AL,Alabama,Henry County,1
AL,Alabama,Houston County,0
AL,Alabama,Jackson County,0
AL,Alabama,Jefferson County,1
AL,Alabama,Lamar County,0
AL,Alabama,Lauderdale County,0
AL,Alabama,Lawrence County,0
AL,Alabama,Lee County,1
AL,Alabama,Limestone County,0
AL,Alabama,Lowndes County,0
AL,Alabama,Macon County,0
AL,Alabama,Madison County,1
AL,Alabama,Marengo County,0
AL,Alabama,Marion County,0
AL,Alabama,Marshall County,3
AL,Alabama,Mobile County,2
AL,Alabama,Monroe County,0
AL,Alabama,Montgomery County,3
AL,Alabama,Morgan County,0
AL,Alabama,Perry County,0
AL,Alabama,Pickens County,0
AL,Alabama,Pike County,0
AL,Alabama,Randolph County,0
AL,Alabama,Russell County,0
AL,Alabama,St. Clair County,2
AL,Alabama,Shelby County,2
AL,Alabama,Sumter County,0
AL,Alabama,Talladega County,0
AL,Alabama,Tallapoosa County,2
AL,Alabama,Tuscaloosa County,0
AL,Alabama,Walker County,1
AL,Alabama,Washington County,0
AL,Alabama,Wilcox County,1
AL,Alabama,Winston County,0
AK,Alaska,Aleutians East Borough,0
AK,Alaska,Aleutians West Census Area,0
AK,Alaska,Anchorage Municipality,0
AK,Alaska,Bethel Census Area,0
AK,Alaska,Bristol Bay Borough,0
AK,Alaska,Chugach Census Area,1
AK,Alaska,Denali Borough,0
AK,Alaska,Dillingham Census Area,0
AK,Alaska,Fairbanks North Star Borough,0
AK,Alaska,Haines Borough,0
AK,Alaska,Hoonah-Angoon Census Area,0
AK,Alaska,Juneau City and Borough,0
AK,Alaska,Kenai Peninsula Borough,0
AK,Alaska,Ketchikan Gateway Borough,0
AK,Alaska,Kodiak Island Borough,0
AK,Alaska,Kusilvak Census Area,0
AK,Alaska,Lake and Peninsula Borough,0
AK,Alaska,Matanuska-Susitna Borough,0
AK,Alaska,Nome Census Area,0
AK,Alaska,North Slope Borough,0
AK,Alaska,Northwest Arctic Borough,0
AK,Alaska,Petersburg Borough,0
AK,Alaska,Prince of Wales-Hyder Census Area,0
AK,Alaska,Sitka City and Borough,1
AK,Alaska,Skagway Municipality,0
AK,Alaska,Southeast Fairbanks Census Area,0
AK,Alaska,Valdez-Cordova Census Area,0
AK,Alaska,Wrangell City and Borough,0
AK,Alaska,Yakutat City and Borough,0
AK,Alaska,Yukon-Koyukuk Census Area,0
AZ,Arizona,Apache County,0
AZ,Arizona,Cochise County,1
AZ,Arizona,Coconino County,1
AZ,Arizona,Gila County,1
AZ,Arizona,Graham County,0
AZ,Arizona,Greenlee County,0
AZ,Arizona,La Paz County,0
AZ,Arizona,Maricopa County,0
AZ,Arizona,Mohave County,1
AZ,Arizona,Navajo County,0
AZ,Arizona,Pima County,6
AZ,Arizona,Pinal County,3
AZ,Arizona,Santa Cruz County,0
AZ,Arizona,Yavapai County,2
AZ,Arizona,Yuma County,1
AR,Arkansas,Arkansas County,0
AR,Arkansas,Ashley County,0
AR,Arkansas,Baxter County,0
AR,Arkansas,Benton County,1
AR,Arkansas,Boone County,0
AR,Arkansas,Bradley County,0
AR,Arkansas,Calhoun County,0
AR,Arkansas,Carroll County,0
AR,Arkansas,Chicot County,0
AR,Arkansas,Clark County,0
AR,Arkansas,Clay County,0
AR,Arkansas,Cleburne County,0
AR,Arkansas,Cleveland County,0
AR,Arkansas,Columbia County,0
AR,Arkansas,Conway County,0
AR,Arkansas,Craighead County,0
AR,Arkansas,Crawford County,0
AR,Arkansas,Crittenden County,0
AR,Arkansas,Cross County,0
AR,Arkansas,Dallas County,0
AR,Arkansas,Desha County,0
AR,Arkansas,Drew County,0
AR,Arkansas,Faulkner County,0
AR,Arkansas,Franklin County,0
AR,Arkansas,Fulton County,0
AR,Arkansas,Garland County,0
AR,Arkansas,Grant County,0
AR,Arkansas,Greene County,0
AR,Arkansas,Hempstead County,0
AR,Arkansas,Hot Spring County,0
AR,Arkansas,Howard County,0
AR,Arkansas,Independence County,0
AR,Arkansas,Izard County,1
AR,Arkansas,Jackson County,0
AR,Arkansas,Jefferson County,0
AR,Arkansas,Johnson County,0
AR,Arkansas,Lafayette County,0
AR,Arkansas,Lawrence County,0
AR,Arkansas,Lee County,0
AR,Arkansas,Lincoln County,0
AR,Arkansas,Little River County,0
AR,Arkansas,Logan County,0
AR,Arkansas,Lonoke County,1
AR,Arkansas,Madison County,0
AR,Arkansas,Marion County,0
AR,Arkansas,Miller County,0
AR,Arkansas,Mississippi County,1
AR,Arkansas,Monroe County,0
AR,Arkansas,Montgomery County,0
AR,Arkansas,Nevada County,0
AR,Arkansas,Newton County,0
AR,Arkansas,Ouachita County,0
AR,Arkansas,Perry County,0
AR,Arkansas,Phillips County,0
AR,Arkansas,Pike County,0
AR,Arkansas,Poinsett County,0
AR,Arkansas,Polk County,0
AR,Arkansas,Pope County,0
AR,Arkansas,Prairie County,0
AR,Arkansas,Pulaski County,1
AR,Arkansas,Randolph County,0
AR,Arkansas,St. Francis County,0
AR,Arkansas,Saline County,0
AR,Arkansas,Scott County,0
AR,Arkansas,Searcy County,0
AR,Arkansas,Sebastian County,0
AR,Arkansas,Sevier County,0
AR,Arkansas,Sharp County,0
AR,Arkansas,Stone County,0
AR,Arkansas,Union County,0
AR,Arkansas,Van Buren County,0
AR,Arkansas,Washington County,0
AR,Arkansas,White County,0
AR,Arkansas,Woodruff County,0
AR,Arkansas,Yell County,0
CA,California,Alameda County,6
CA,California,Alpine County,0
CA,California,Amador County,0
CA,California,Butte County,1
CA,California,Calaveras County,2
CA,California,Colusa County,0
CA,California,Contra Costa County,2
CA,California,Del Norte County,0
CA,California,El Dorado County,1
CA,California,Fresno County,0
CA,California,Glenn County,0
CA,California,Humboldt County,6
CA,California,Imperial County,0
CA,California,Inyo County,0
CA,California,Kern County,1
CA,California,Kings County,0
CA,California,Lake County,0
CA,California,Lassen County,0
CA,California,Los Angeles County,15
CA,California,Madera County,0
CA,California,Marin County,0
CA,California,Mariposa County,0
CA,California,Mendocino County,2
CA,California,Merced County,0
CA,California,Modoc County,0
CA,California,Mono County,0
CA,California,Monterey County,0
CA,California,Napa County,1
CA,California,Nevada County,1
CA,California,Orange County,0
CA,California,Placer County,1
CA,California,Plumas County,0
CA,California,Riverside County,4
CA,California,Sacramento County,4
CA,California,San Benito County,1
CA,California,San Bernardino County,0
CA,California,San Diego County,11
CA,California,San Francisco County,4
CA,California,San Joaquin County,2
CA,California,San Luis Obispo County,0
CA,California,San Mateo County,0
CA,California,Santa Barbara County,4
CA,California,Santa Clara County,12
CA,California,Santa Cruz County,12
CA,California,Shasta County,2
CA,California,Sierra County,0
CA,California,Siskiyou County,0
CA,California,Solano County,0
CA,California,Sonoma County,11
CA,California,Stanislaus County,0
CA,California,Sutter County,0
CA,California,Tehama County,0
CA,California,Trinity County,0
CA,California,Tulare County,2
CA,California,Tuolumne County,0
CA,California,Ventura County,1
CA,California,Yolo County,0
CA,California,Yuba County,0
CO,Colorado,Adams County,1
CO,Colorado,Alamosa County,1
CO,Colorado,Arapahoe County,2
CO,Colorado,Archuleta County,0
CO,Colorado,Baca County,0
CO,Colorado,Bent County,0
CO,Colorado,Boulder County,7
CO,Colorado,Broomfield County,0
CO,Colorado,Chaffee County,0
CO,Colorado,Cheyenne County,0
CO,Colorado,Clear Creek County,0
CO,Colorado,Conejos County,0
CO,Colorado,Costilla County,0
CO,Colorado,Crowley County,0
CO,Colorado,Custer County,0
CO,Colorado,Delta County,0
CO,Colorado,Denver County,2
CO,Colorado,Dolores County,0
CO,Colorado,Douglas County,2
CO,Colorado,Eagle County,0
CO,Colorado,Elbert County,0
CO,Colorado,El Paso County,3
CO,Colorado,Fremont County,0
CO,Colorado,Garfield County,0
CO,Colorado,Gilpin County,0
CO,Colorado,Grand County,0
CO,Colorado,Gunnison County,0
CO,Colorado,Hinsdale County,0
CO,Colorado,Huerfano County,0
CO,Colorado,Jackson County,0
CO,Colorado,Jefferson County,4
CO,Colorado,Kiowa County,0
CO,Colorado,Kit Carson County,0
CO,Colorado,Lake County,0
CO,Colorado,La Plata County,0
CO,Colorado,Larimer County,4
CO,Colorado,Las Animas County,0
CO,Colorado,Lincoln County,0
CO,Colorado,Logan County,0
CO,Colorado,Mesa County,1
CO,Colorado,Mineral County,0
CO,Colorado,Moffat County,0
CO,Colorado,Montezuma County,0
CO,Colorado,Montrose County,1
CO,Colorado,Morgan County,0
CO,Colorado,Otero County,0
CO,Colorado,Ouray County,1
CO,Colorado,Park County,0
CO,Colorado,Phillips County,0
CO,Colorado,Pitkin County,0
CO,Colorado,Prowers County,0
CO,Colorado,Pueblo County,0
CO,Colorado,Rio Blanco County,0
CO,Colorado,Rio Grande County,0
CO,Colorado,Routt County,0
CO,Colorado,Saguache County,0
CO,Colorado,San Juan County,0
CO,Colorado,San Miguel County,1
CO,Colorado,Sedgwick County,0
CO,Colorado,Summit County,0
CO,Colorado,Teller County,1
CO,Colorado,Washington County,0
CO,Colorado,Weld County,1
CO,Colorado,Yuma County,0
CT,Connecticut,Fairfield County,0
CT,Connecticut,Hartford County,0
CT,Connecticut,Litchfield County,0
CT,Connecticut,Middlesex County,0
CT,Connecticut,New Haven County,0
CT,Connecticut,New London County,0
CT,Connecticut,Tolland County,0
CT,Connecticut,Windham County,0
CT,Connecticut,Capitol,507
CT,Connecticut,Greater Bridgeport,184
CT,Connecticut,Lower Connecticut River Valley,305
CT,Connecticut,Naugatuck Valley,337
CT,Connecticut,Northeastern Connecticut,215
CT,Connecticut,Northwest Hills,228
CT,Connecticut,South Central Connecticut,362
CT,Connecticut,Southeastern Connecticut,558
CT,Connecticut,Western Connecticut,534
DE,Delaware,Kent County,44
DE,Delaware,New Castle County,203
DE,Delaware,Sussex County,78
DC,District of Columbia,District of Columbia,108
FL,Florida,Alachua County,3
FL,Florida,Baker County,0
FL,Florida,Bay County,1
FL,Florida,Bradford County,0
FL,Florida,Brevard County,12
FL,Florida,Broward County,15
FL,Florida,Calhoun County,0
FL,Florida,Charlotte County,11
FL,Florida,Citrus County,2
FL,Florida,Clay County,1
FL,Florida,Collier County,14
FL,Florida,Columbia County,0
FL,Florida,DeSoto County,0
FL,Florida,Dixie County,0
FL,Florida,Duval County,3
FL,Florida,Escambia County,2
FL,Florida,Flagler County,0
FL,Florida,Franklin County,0
FL,Florida,Gadsden County,0
FL,Florida,Gilchrist County,0
FL,Florida,Glades County,0
FL,Florida,Gulf County,0
FL,Florida,Hamilton County,0
FL,Florida,Hardee County,0
FL,Florida,Hendry County,1
FL,Florida,Hernando County,1
FL,Florida,Highlands County,3
FL,Florida,Hillsborough County,14
FL,Florida,Holmes County,0
FL,Florida,Indian River County,2
FL,Florida,Jackson County,0
FL,Florida,Jefferson County,0
FL,Florida,Lafayette County,0
FL,Florida,Lake County,9
FL,Florida,Lee County,15
FL,Florida,Leon County,4
FL,Florida,Levy County,0
FL,Florida,Liberty County,0
FL,Florida,Madison County,0
FL,Florida,Manatee County,14
FL,Florida,Marion County,10
FL,Florida,Martin County,6
FL,Florida,Miami-Dade County,13
FL,Florida,Monroe County,4
FL,Florida,Nassau County,2
FL,Florida,Okaloosa County,1
FL,Florida,Okeechobee County,0
FL,Florida,Orange County,8
FL,Florida,Osceola County,1
FL,Florida,Palm Beach County,34
FL,Florida,Pasco County,5
FL,Florida,Pinellas County,21
FL,Florida,Polk County,1
FL,Florida,Putnam County,1
FL,Florida,St. Johns County,6
FL,Florida,St. Lucie County,5
FL,Florida,Santa Rosa County,3
FL,Florida,Sarasota County,12
FL,Florida,Seminole County,3
FL,Florida,Sumter County,5
FL,Florida,Suwannee County,0
FL,Florida,Taylor County,0
FL,Florida,Union County,0
FL,Florida,Volusia County,3
FL,Florida,Wakulla County,0
FL,Florida,Walton County,0
FL,Florida,Washington County,0
GA,Georgia,Appling County,0
GA,Georgia,Atkinson County,0
GA,Georgia,Bacon County,0
GA,Georgia,Baker County,0
GA,Georgia,Baldwin County,0
GA,Georgia,Banks County,0
GA,Georgia,Barrow County,1
GA,Georgia,Bartow County,0
GA,Georgia,Ben Hill County,0
GA,Georgia,Berrien County,0
GA,Georgia,Bibb County,0
GA,Georgia,Bleckley County,0
GA,Georgia,Brantley County,0
GA,Georgia,Brooks County,0
GA,Georgia,Bryan County,0
GA,Georgia,Bulloch County,0
GA,Georgia,Burke County,0
GA,Georgia,Butts County,0
GA,Georgia,Calhoun County,0
GA,Georgia,Camden County,0
GA,Georgia,Candler County,0
GA,Georgia,Carroll County,0
GA,Georgia,Catoosa County,0
GA,Georgia,Charlton County,0
GA,Georgia,Chatham County,0
GA,Georgia,Chattahoochee County,0
GA,Georgia,Chattooga County,0
GA,Georgia,Cherokee County,0
GA,Georgia,Clarke County,0
GA,Georgia,Clay County,0
GA,Georgia,Clayton County,0
GA,Georgia,Clinch County,0
GA,Georgia,Cobb County,1
GA,Georgia,Coffee County,0
GA,Georgia,Colquitt County,0
GA,Georgia,Columbia County,0
GA,Georgia,Cook County,0
GA,Georgia,Coweta County,0
GA,Georgia,Crawford County,0
GA,Georgia,Crisp County,0
GA,Georgia,Dade County,0
GA,Georgia,Dawson County,0
GA,Georgia,Decatur County,0
GA,Georgia,DeKalb County,2
GA,Georgia,Dodge County,0
GA,Georgia,Dooly County,0
GA,Georgia,Dougherty County,0
GA,Georgia,Douglas County,0
GA,Georgia,Early County,0
GA,Georgia,Echols County,0
GA,Georgia,Effingham County,0
GA,Georgia,Elbert County,0
GA,Georgia,Emanuel County,0
GA,Georgia,Evans County,0
GA,Georgia,Fannin County,0
GA,Georgia,Fayette County,2
GA,Georgia,Floyd County,0
GA,Georgia,Forsyth County,0
GA,Georgia,Franklin County,0
GA,Georgia,Fulton County,3
GA,Georgia,Gilmer County,0
GA,Georgia,Glascock County,0
GA,Georgia,Glynn County,0
GA,Georgia,Gordon County,0
GA,Georgia,Grady County,0
GA,Georgia,Greene County,0
GA,Georgia,Gwinnett County,1
GA,Georgia,Habersham County,0
GA,Georgia,Hall County,0
GA,Georgia,Hancock County,0
GA,Georgia,Haralson County,0
GA,Georgia,Harris County,0
GA,Georgia,Hart County,0
GA,Georgia,Heard County,1
GA,Georgia,Henry County,3
GA,Georgia,Houston County,0
GA,Georgia,Irwin County,0
GA,Georgia,Jackson County,0
GA,Georgia,Jasper County,0
GA,Georgia,Jeff Davis County,0
GA,Georgia,Jefferson County,0
GA,Georgia,Jenkins County,0
GA,Georgia,Johnson County,0
GA,Georgia,Jones County,0
GA,Georgia,Lamar County,0
GA,Georgia,Lanier County,0
GA,Georgia,Laurens County,1
GA,Georgia,Lee County,0
GA,Georgia,Liberty County,0
GA,Georgia,Lincoln County,0
GA,Georgia,Long County,0
GA,Georgia,Lowndes County,0
GA,Georgia,Lumpkin County,0
GA,Georgia,McDuffie County,0
GA,Georgia,McIntosh County,0
GA,Georgia,Macon County,0
GA,Georgia,Madison County,1
GA,Georgia,Marion County,0
GA,Georgia,Meriwether County,0
GA,Georgia,Miller County,0
GA,Georgia,Mitchell County,0
GA,Georgia,Monroe County,0
GA,Georgia,Montgomery County,0
GA,Georgia,Morgan County,0
GA,Georgia,Murray County,0
GA,Georgia,Muscogee County,0
GA,Georgia,Newton County,0
GA,Georgia,Oconee County,0
GA,Georgia,Oglethorpe County,0
GA,Georgia,Paulding County,1
GA,Georgia,Peach County,0
GA,Georgia,Pickens County,0
GA,Georgia,Pierce County,0
GA,Georgia,Pike County,0
GA,Georgia,Polk County,0
GA,Georgia,Pulaski County,0
GA,Georgia,Putnam County,0
GA,Georgia,Quitman County,0
GA,Georgia,Rabun County,0
GA,Georgia,Randolph County,0
GA,Georgia,Richmond County,0
GA,Georgia,Rockdale County,0
GA,Georgia,Schley County,0
GA,Georgia,Screven County,0
GA,Georgia,Seminole County,0
GA,Georgia,Spalding County,0
GA,Georgia,Stephens County,0
GA,Georgia,Stewart County,0
GA,Georgia,Sumter County,0
GA,Georgia,Talbot County,0
GA,Georgia,Taliaferro County,0
GA,Georgia,Tattnall County,0
GA,Georgia,Taylor County,0
GA,Georgia,Telfair County,0
GA,Georgia,Terrell County,0
GA,Georgia,Thomas County,0
GA,Georgia,Tift County,0
GA,Georgia,Toombs County,0
GA,Georgia,Towns County,0
GA,Georgia,Treutlen County,0
GA,Georgia,Troup County,0
GA,Georgia,Turner County,0
GA,Georgia,Twiggs County,0
GA,Georgia,Union County,0
GA,Georgia,Upson County,0
GA,Georgia,Walker County,0
GA,Georgia,Walton County,0
GA,Georgia,Ware County,1
GA,Georgia,Warren County,0
GA,Georgia,Washington County,0
GA,Georgia,Wayne County,0
GA,Georgia,Webster County,0
GA,Georgia,Wheeler County,0
GA,Georgia,White County,0
GA,Georgia,Whitfield County,0
GA,Georgia,Wilcox County,0
GA,Georgia,Wilkes County,0
GA,Georgia,Wilkinson County,0
GA,Georgia,Worth County,0
HI,Hawaii,Hawaii County,0
HI,Hawaii,Honolulu County,0
HI,Hawaii,Kalawao County,0
HI,Hawaii,Kauai County,0
HI,Hawaii,Maui County,0
ID,Idaho,Ada County,1
ID,Idaho,Adams County,0
ID,Idaho,Bannock County,0
ID,Idaho,Bear Lake County,0
ID,Idaho,Benewah County,0
ID,Idaho,Bingham County,0
ID,Idaho,Blaine County,0
ID,Idaho,Boise County,0
ID,Idaho,Bonner County,1
ID,Idaho,Bonneville County,0
ID,Idaho,Boundary County,0
ID,Idaho,Butte County,0
ID,Idaho,Camas County,0
ID,Idaho,Canyon County,0
ID,Idaho,Caribou County,0
ID,Idaho,Cassia County,0
ID,Idaho,Clark County,0
ID,Idaho,Clearwater County,0
ID,Idaho,Custer County,0
ID,Idaho,Elmore County,0
ID,Idaho,Franklin County,0
ID,Idaho,Fremont County,0
ID,Idaho,Gem County,0
ID,Idaho,Gooding County,0
ID,Idaho,Idaho County,0
ID,Idaho,Jefferson County,0
ID,Idaho,Jerome County,0
ID,Idaho,Kootenai County,4
ID,Idaho,Latah County,0
ID,Idaho,Lemhi County,0
ID,Idaho,Lewis County,0
ID,Idaho,Lincoln County,0
ID,Idaho,Madison County,0
ID,Idaho,Minidoka County,0
ID,Idaho,Nez Perce County,0
ID,Idaho,Oneida County,0
ID,Idaho,Owyhee County,0
ID,Idaho,Payette County,0
ID,Idaho,Power County,0
ID,Idaho,Shoshone County,0
ID,Idaho,Teton County,1
ID,Idaho,Twin Falls County,0
ID,Idaho,Valley County,0
ID,Idaho,Washington County,0
IL,Illinois,Adams County,2
IL,Illinois,Alexander County,0
IL,Illinois,Bond County,0
IL,Illinois,Boone County,1
IL,Illinois,Brown County,0
IL,Illinois,Bureau County,0
IL,Illinois,Calhoun County,0
IL,Illinois,Carroll County,2
IL,Illinois,Cass County,0
IL,Illinois,Champaign County,3
IL,Illinois,Christian County,0
IL,Illinois,Clark County,0
IL,Illinois,Clay County,0
IL,Illinois,Clinton County,0
IL,Illinois,Coles County,1
IL,Illinois,Cook County,107
IL,Illinois,Crawford County,0
IL,Illinois,Cumberland County,0
IL,Illinois,DeKalb County,2
IL,Illinois,De Witt County,0
IL,Illinois,Douglas County,0
IL,Illinois,DuPage County,39
IL,Illinois,Edgar County,0
IL,Illinois,Edwards County,1
IL,Illinois,Effingham County,2
IL,Illinois,Fayette County,0
IL,Illinois,Ford County,0
IL,Illinois,Franklin County,0
IL,Illinois,Fulton County,6
IL,Illinois,Gallatin County,0
IL,Illinois,Greene County,0
IL,Illinois,Grundy County,0
IL,Illinois,Hamilton County,0
IL,Illinois,Hancock County,0
IL,Illinois,Hardin County,0
IL,Illinois,Henderson County,0
IL,Illinois,Henry County,1
IL,Illinois,Iroquois County,0
IL,Illinois,Jackson County,0
IL,Illinois,Jasper County,0
IL,Illinois,Jefferson County,0
IL,Illinois,Jersey County,0
IL,Illinois,Jo Daviess County,9
IL,Illinois,Johnson County,0
IL,Illinois,Kane County,25
IL,Illinois,Kankakee County,1
IL,Illinois,Kendall County,7
IL,Illinois,Knox County,3
IL,Illinois,Lake County,51
IL,Illinois,LaSalle County,8
IL,Illinois,Lawrence County,0
IL,Illinois,Lee County,3
IL,Illinois,Livingston County,0
IL,Illinois,Logan County,1
IL,Illinois,McDonough County,1
IL,Illinois,McHenry County,23
IL,Illinois,McLean County,2
IL,Illinois,Macon County,0
IL,Illinois,Macoupin County,0
IL,Illinois,Madison County,0
IL,Illinois,Marion County,0
IL,Illinois,Marshall County,0
IL,Illinois,Mason County,1
IL,Illinois,Massac County,0
IL,Illinois,Menard County,0
IL,Illinois,Mercer County,1
IL,Illinois,Monroe County,0
IL,Illinois,Montgomery County,0
IL,Illinois,Morgan County,0
IL,Illinois,Moultrie County,0
IL,Illinois,Ogle County,2
IL,Illinois,Peoria County,14
IL,Illinois,Perry County,0
IL,Illinois,Piatt County,2
IL,Illinois,Pike County,0
IL,Illinois,Pope County,0
IL,Illinois,Pulaski County,0
IL,Illinois,Putnam County,3
IL,Illinois,Randolph County,0
IL,Illinois,Richland County,0
IL,Illinois,Rock Island County,3
IL,Illinois,St. Clair County,0
IL,Illinois,Saline County,0
IL,Illinois,Sangamon County,1
IL,Illinois,Schuyler County,0
IL,Illinois,Scott County,0
IL,Illinois,Shelby County,0
IL,Illinois,Stark County,0
IL,Illinois,Stephenson County,1
IL,Illinois,Tazewell County,7
IL,Illinois,Union County,0
IL,Illinois,Vermilion County,2
IL,Illinois,Wabash County,1
IL,Illinois,Warren County,0
IL,Illinois,Washington County,0
IL,Illinois,Wayne County,0
IL,Illinois,White County,0
IL,Illinois,Whiteside County,3
IL,Illinois,Will County,16
IL,Illinois,Williamson County,0
IL,Illinois,Winnebago County,14
IL,Illinois,Woodford County,0
IN,Indiana,Adams County,0
IN,Indiana,Allen County,4
IN,Indiana,Bartholomew County,2
IN,Indiana,Benton County,0
IN,Indiana,Blackford County,0
IN,Indiana,Boone County,3
IN,Indiana,Brown County,1
IN,Indiana,Carroll County,0
IN,Indiana,Cass County,4
IN,Indiana,Clark County,1
IN,Indiana,Clay County,2
IN,Indiana,Clinton County,1
IN,Indiana,Crawford County,0
IN,Indiana,Daviess County,0
IN,Indiana,Dearborn County,2
IN,Indiana,Decatur County,1
IN,Indiana,DeKalb County,0
IN,Indiana,Delaware County,1
IN,Indiana,Dubois County,1
IN,Indiana,Elkhart County,6
IN,Indiana,Fayette County,1
IN,Indiana,Floyd County,2
IN,Indiana,Fountain County,1
IN,Indiana,Franklin County,2
IN,Indiana,Fulton County,3
IN,Indiana,Gibson County,0
IN,Indiana,Grant County,0
IN,Indiana,Greene County,1
IN,Indiana,Hamilton County,3
IN,Indiana,Hancock County,1
IN,Indiana,Harrison County,1
IN,Indiana,Hendricks County,2
IN,Indiana,Henry County,0
IN,Indiana,Howard County,0
IN,Indiana,Huntington County,0
IN,Indiana,Jackson County,0
IN,Indiana,Jasper County,5
IN,Indiana,Jay County,0
IN,Indiana,Jefferson County,0
IN,Indiana,Jennings County,0
IN,Indiana,Johnson County,0
IN,Indiana,Knox County,1
IN,Indiana,Kosciusko County,9
IN,Indiana,LaGrange County,2
IN,Indiana,Lake County,16
IN,Indiana,LaPorte County,8
IN,Indiana,Lawrence County,2
IN,Indiana,Madison County,0
IN,Indiana,Marion County,12
IN,Indiana,Marshall County,6
IN,Indiana,Martin County,0
IN,Indiana,Miami County,2
IN,Indiana,Monroe County,0
IN,Indiana,Montgomery County,0
IN,Indiana,Morgan County,1
IN,Indiana,Newton County,1
IN,Indiana,Noble County,0
IN,Indiana,Ohio County,0
IN,Indiana,Orange County,0
IN,Indiana,Owen County,3
IN,Indiana,Parke County,1
IN,Indiana,Perry County,0
IN,Indiana,Pike County,0
IN,Indiana,Porter County,13
IN,Indiana,Posey County,0
IN,Indiana,Pulaski County,0
IN,Indiana,Putnam County,2
IN,Indiana,Randolph County,0
IN,Indiana,Ripley County,2
IN,Indiana,Rush County,0
IN,Indiana,St. Joseph County,19
IN,Indiana,Scott County,1
IN,Indiana,Shelby County,0
IN,Indiana,Spencer County,0
IN,Indiana,Starke County,3
IN,Indiana,Steuben County,0
IN,Indiana,Sullivan County,0
IN,Indiana,Switzerland County,0
IN,Indiana,Tippecanoe County,5
IN,Indiana,Tipton County,0
IN,Indiana,Union County,0
IN,Indiana,Vanderburgh County,1
IN,Indiana,Vermillion County,0
IN,Indiana,Vigo County,1
IN,Indiana,Wabash County,1
IN,Indiana,Warren County,0
IN,Indiana,Warrick County,0
IN,Indiana,Washington County,1
IN,Indiana,Wayne County,2
IN,Indiana,Wells County,1
IN,Indiana,White County,0
IN,Indiana,Whitley County,0
IA,Iowa,Adair County,0
IA,Iowa,Adams County,0
IA,Iowa,Allamakee County,1
IA,Iowa,Appanoose County,2
IA,Iowa,Audubon County,0
IA,Iowa,Benton County,1
